State,1960 pop,,1960 rank,2025 est pop,2025 rank,Change,% Change:,Rank Change,% (PP) growth relative to overall US growth
West Virginia,"1,860,421",.West Virginia,30,"1,766,147",39,"-94,274",-5.07%,-9,-96.09%
Pennsylvania,"11,319,366",.Pennsylvania,3,"13,059,432",5,"1,740,066",15.37%,-2,15.37%
Iowa,"2,757,537",.Iowa,24,"3,238,387",32,"480,850",17.44%,-8,17.44%
New York,"16,782,304",.New York,1,"20,002,427",4,"3,220,123",19.19%,-3,19.19%
Ohio,"9,706,397",.Ohio,5,"11,900,510",7,"2,194,113",22.60%,-2,22.60%
Illinois,"10,081,158",.Illinois,4,"12,719,141",6,"2,637,983",26.17%,-2,26.17%
North Dakota,"632,446",.North Dakota,44,"799,358",47,"166,912",26.39%,-3,26.39%
Michigan,"7,823,194",.Michigan,7,"10,127,884",10,"2,304,690",29.46%,-3,29.46%
Rhode Island,"859,488",.Rhode Island,39,"1,114,521",44,"255,033",29.67%,-5,29.67%
Mississippi,"2,178,141",.Mississippi,29,"2,954,160",35,"776,019",35.63%,-6,35.63%
Kansas,"2,178,611",.Kansas,28,"2,977,220",34,"798,609",36.66%,-6,36.66%
South Dakota,"680,514",.South Dakota,40,"935,094",46,"254,580",37.41%,-6,37.41%
Massachusetts,"5,148,578",.Massachusetts,9,"7,154,084",16,"2,005,506",38.95%,-7,38.95%
Louisiana,"3,257,022",.Louisiana,20,"4,618,189",25,"1,361,167",41.79%,-5,41.79%
Nebraska,"1,411,330",.Nebraska,34,"2,018,006",38,"606,676",42.99%,-4,42.99%
Missouri,"4,319,813",.Missouri,13,"6,270,541",18,"1,950,728",45.16%,-5,45.16%
Connecticut,"2,535,234",.Connecticut,25,"3,688,496",29,"1,153,262",45.49%,-4,45.49%
Maine,"969,265",.Maine,36,"1,414,874",42,"445,609",45.97%,-6,45.97%
Indiana,"4,662,498",.Indiana,11,"6,973,333",17,"2,310,835",49.56%,-6,49.56%
Wisconsin,"3,951,777",.Wisconsin,15,"5,972,787",21,"2,021,010",51.14%,-6,51.14%
Kentucky,"3,038,156",.Kentucky,22,"4,606,864",26,"1,568,708",51.63%,-4,51.63%
New Jersey,"6,066,782",.New Jersey,8,"9,548,215",11,"3,481,433",57.39%,-3,57.39%
Alabama,"3,266,740",.Alabama,19,"5,193,088",24,"1,926,348",58.97%,-5,58.97%
Vermont,"389,881",.Vermont,47,"644,663",49,"254,782",65.35%,-2,65.35%
Montana,"674,767",.Montana,41,"1,144,694",43,"469,927",69.64%,-2,69.64%
Minnesota,"3,413,864",.Minnesota,18,"5,830,405",22,"2,416,541",70.79%,-4,70.79%
Arkansas,"1,786,272",.Arkansas,31,"3,114,791",33,"1,328,519",74.37%,-2,74.37%
Oklahoma,"2,328,284",.Oklahoma,27,"4,123,288",28,"1,795,004",77.10%,-1,77.10%
Wyoming,"330,066",.Wyoming,48,"588,753",50,"258,687",78.37%,-2,78.37%
Maryland,"3,100,689",.Maryland,21,"6,265,347",19,"3,164,658",102.06%,2,102.06%
Tennessee,"3,567,089",.Tennessee,17,"7,315,076",15,"3,747,987",105.07%,2,105.07%
New Mexico,"951,023",.New Mexico,37,"2,125,498",36,"1,174,475",123.50%,1,123.50%
Virginia,"3,966,949",.Virginia,14,"8,880,107",12,"4,913,158",123.85%,2,123.85%
Hawaii,"632,772",.Hawaii,43,"1,432,820",40,"800,048",126.44%,3,126.44%
New Hampshire,"606,921",.New Hampshire,45,"1,415,342",41,"808,421",133.20%,4,133.20%
South Carolina,"2,382,594",.South Carolina,26,"5,570,274",23,"3,187,680",133.79%,3,133.79%
Delaware,"446,292",.Delaware,46,"1,059,952",45,"613,660",137.50%,1,137.50%
Oregon,"1,768,687",.Oregon,32,"4,273,586",27,"2,504,899",141.62%,5,141.62%
North Carolina,"4,556,155",.North Carolina,12,"11,197,968",9,"6,641,813",145.78%,3,145.78%
California,"15,717,204",.California,2,"39,355,309",1,"23,638,105",150.40%,1,150.40%
Washington,"2,853,214",.Washington,23,"8,001,020",13,"5,147,806",180.42%,10,180.42%
Georgia,"3,943,116",.Georgia,16,"11,302,748",8,"7,359,632",186.65%,8,186.65%
Idaho,"667,191",.Idaho,42,"2,029,733",37,"1,362,542",204.22%,5,204.22%
Alaska,"226,167",.Alaska,50,"737,270",48,"511,103",225.98%,2,225.98%
Texas,"9,579,677",.Texas,6,"31,709,821",2,"22,130,144",231.01%,4,231.01%
Colorado,"1,753,947",.Colorado,33,"6,012,561",20,"4,258,614",242.80%,13,242.80%
Utah,"890,627",.Utah,38,"3,538,904",30,"2,648,277",297.35%,8,297.35%
Florida,"4,951,560",.Florida,10,"23,462,518",3,"18,510,958",373.84%,7,373.84%
Arizona,"1,302,161",.Arizona,35,"7,623,818",14,"6,321,657",485.47%,21,485.47%
Nevada,"285,278",.Nevada,49,"3,282,188",31,"2,996,910",1050.52%,18,1050.52%
,,,,,,,,,
US STATES TOTAL,"178,559,219",,,"341,091,212",,"162,531,993",91.02%,,